"","Torque","Speed","Angle"
"350",-8.842,14.841,-33.066
"351",-8.842,15.231,-33.006
"352",-8.842,14.841,-32.948
"353",-8.842,15.231,-32.889
"354",-8.842,14.841,-32.831
"355",-9.086,14.841,-32.773
"356",-9.33,15.231,-32.713
"357",-9.086,14.841,-32.655
"358",-8.842,14.841,-32.597
"359",-8.842,14.841,-32.539
"360",-8.842,15.231,-32.48
"361",-9.33,14.841,-32.422
"362",-9.33,15.231,-32.362
"363",-9.575,14.841,-32.305
"364",-9.086,14.841,-32.247
"365",-9.33,14.841,-32.189
"366",-9.33,15.231,-32.129
"367",-9.819,14.841,-32.071
"368",-9.819,15.231,-32.012
"369",-9.575,15.231,-31.952
"370",-10.063,14.841,-31.894
"371",-9.819,14.841,-31.836
"372",-9.575,14.841,-31.778
"373",-9.819,14.841,-31.72
"374",-10.307,15.231,-31.661
"375",-10.307,14.841,-31.603
"376",-10.307,15.231,-31.543
"377",-10.063,14.841,-31.485
"378",-10.307,15.231,-31.426
"379",-10.063,14.841,-31.368
"380",-10.551,15.231,-31.308
"381",-10.551,14.841,-31.25
"382",-10.551,14.841,-31.192
"383",-10.551,14.841,-31.134
"384",-11.039,15.231,-31.075
"385",-10.551,15.231,-31.015
"386",-10.795,14.841,-30.957
"387",-10.795,14.841,-30.899
"388",-11.284,14.841,-30.841
"389",-11.039,15.231,-30.782
"390",-11.528,14.841,-30.724
"391",-11.528,15.231,-30.665
"392",-11.528,14.841,-30.607
"393",-11.284,15.231,-30.547
"394",-11.528,14.45,-30.491
"395",-11.284,15.231,-30.431
"396",-11.284,15.231,-30.372
"397",-11.772,14.45,-30.315
"398",-11.772,15.231,-30.256
"399",-11.772,15.231,-30.196
"400",-11.772,14.841,-30.138
"401",-11.284,14.841,-30.08
"402",-11.284,15.231,-30.021
"403",-11.772,14.841,-29.963
"404",-11.284,14.841,-29.905
"405",-11.528,15.231,-29.845
"406",-11.284,14.841,-29.787
"407",-11.772,15.231,-29.728
"408",-11.528,14.841,-29.67
"409",-11.284,14.841,-29.612
"410",-11.284,15.231,-29.552
"411",-11.528,14.841,-29.494
"412",-11.528,15.231,-29.435
"413",-11.528,14.841,-29.377
"414",-11.284,14.841,-29.319
"415",-11.039,14.841,-29.261
"416",-11.039,15.231,-29.202
"417",-11.528,14.841,-29.144
"418",-11.528,14.841,-29.086
"419",-11.039,15.231,-29.026
"420",-11.039,14.841,-28.968
"421",-11.039,15.231,-28.909
"422",-11.039,14.841,-28.851
"423",-11.284,14.841,-28.793
"424",-11.528,15.231,-28.733
"425",-11.039,14.841,-28.675
"426",-10.795,14.841,-28.617
"427",-11.039,15.231,-28.558
"428",-11.284,14.841,-28.5
"429",-11.284,14.841,-28.442
"430",-11.284,15.231,-28.382
"431",-10.795,14.841,-28.324
"432",-10.795,15.231,-28.265
"433",-11.039,14.841,-28.207
"434",-11.039,14.841,-28.149
"435",-10.307,15.231,-28.089
"436",-10.307,14.841,-28.031
"437",-10.795,14.841,-27.973
"438",-10.551,14.841,-27.915
"439",-10.307,15.231,-27.856
"440",-10.307,15.231,-27.796
"441",-10.307,14.841,-27.739
"442",-10.307,15.231,-27.679
"443",-10.551,14.45,-27.623
"444",-10.307,15.231,-27.563
"445",-10.551,14.841,-27.505
"446",-10.063,15.231,-27.446
"447",-10.307,15.231,-27.386
"448",-10.063,14.841,-27.328
"449",-10.551,14.841,-27.27
"450",-10.551,15.231,-27.211
"451",-10.551,14.841,-27.153
"452",-9.819,14.841,-27.095
"453",-10.063,14.841,-27.037
"454",-10.551,15.231,-26.977
"455",-10.551,14.841,-26.919
"456",-10.551,15.231,-26.86
"457",-10.307,15.231,-26.8
"458",-10.063,14.45,-26.744
"459",-10.551,15.231,-26.684
"460",-10.551,14.841,-26.626
"461",-10.307,14.841,-26.568
"462",-10.795,15.231,-26.509
"463",-10.795,14.841,-26.451
"464",-10.795,15.231,-26.391
"465",-10.551,14.841,-26.333
"466",-10.551,14.841,-26.276
"467",-10.551,15.231,-26.216
"468",-10.795,14.841,-26.158
"469",-10.551,14.841,-26.1
"470",-11.039,14.841,-26.042
"471",-11.284,15.231,-25.983
"472",-11.284,15.231,-25.923
"473",-11.039,14.841,-25.865
"474",-11.284,15.231,-25.806
"475",-11.039,14.45,-25.749
"476",-11.284,15.231,-25.69
"477",-11.528,14.841,-25.632
"478",-11.772,15.231,-25.572
"479",-11.528,14.841,-25.514
"480",-11.528,15.231,-25.455
"481",-11.772,14.841,-25.397
"482",-12.016,15.231,-25.337
